"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2018-1-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","North","Male","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","XXXX",,
"2018-1-15/08/2019","02",0,"SA","Motor Cars - Sedan","2006","East","Male","XXX","SA","C ","Full","Not Towing","Leaving Private Driveway","002","5159",,
"2018-1-15/08/2019","03",0,,"Pedestrian on Footpath/Carpark",,"North","Female","066",,,,,"Walking on Footpath",,"XXXX",,
"2018-1-15/08/2019","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-2-15/08/2019","01",0,"SA","Station Wagon","2017","East","Male","038","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5085",,
"2018-2-15/08/2019","02",0,"SA","Motor Cars - Tourer","2015","East","Male","033","SA","C ","Full","Not Towing","Straight Ahead","002","5158",,
"2018-3-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North East","Male","022","SA","C ","Full","Not Towing","Straight Ahead","002","5107",,
"2018-3-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","North West","Female","056","SA","C ","Full","Not Towing","Straight Ahead","002","5109",,
"2018-4-15/08/2019","01",2,"SA","Motor Cars - Sedan","2004","South East","Male","044","SA","C ","Provisional 2","Not Towing","Right Turn","004","5112",,
"2018-4-15/08/2019","02",2,"SA","Motor Cars - Sedan","2004","North West","Male","034","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2018-5-15/08/2019","01",1,"SA","Motor Cars - Sedan","2015","North East","Female","030","SA","C ","Full","Not Towing","Straight Ahead","001","5050",,
"2018-5-15/08/2019","02",2,"SA","Motor Cars - Sedan","2015","South West","Male","032","SA","C ","Full","Not Towing","Right Turn","003","5090","Y",
"2018-6-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2018-6-15/08/2019","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2018-6-15/08/2019","03",0,,"Tree",,,,,,,,,,,,,
"2018-6-15/08/2019","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-7-15/08/2019","01",0,"SA","Station Wagon","2011","North East","Male","026","SA","C ","Full","Not Towing","Straight Ahead","003","5023",,
"2018-7-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-8-15/08/2019","01",1,"SA","Motor Cars - Sedan","2011","North West","Female","023","SA","C ","Provisional 2","Not Towing","Swerving","001","5096",,
"2018-8-15/08/2019","02",0,,"Guard Rail",,,,,,,,,,,,,
"2018-9-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","North","Female","058","SA","C ","Provisional 2","Not Towing","Right Turn","001","5073",,
"2018-9-15/08/2019","02",0,"SA","Motor Cars - Sedan","2008","West","Female","022","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5118",,
