REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,cas_type,cas_gender,cas_age,cas_pos_in_veh,thrown_out,fatality,seat_belt,unit_type,lic_type,unit_movement,n_occupants,stat_area,total_units,cas_total,day,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
2017-1-15/08/2019,1,1,Driver,Female,34.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Friday,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-5-15/08/2019,2,1,Driver,Female,41.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
2017-9-15/08/2019,1,1,Driver,Male,39.88915925490854,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-10-15/08/2019,1,1,Driver,Male,19.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Provisional 2,Straight Ahead,1.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,1,Driver,Male,48.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,2,Passenger,Female,39.88915925490854,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,3,Passenger,Male,39.88915925490854,Rear Seat Middle Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,4,Passenger,Male,39.88915925490854,Rear Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,5,Passenger,Female,39.88915925490854,Rear Seat Right Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,6,Passenger,Female,39.88915925490854,Other,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
