REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,Casualty Type,Sex_x,AGE,Position In Veh,Thrown Out,Injury Extent,Seat Belt,Unit Type,Licence Type,Unit Movement,Number Occupants,Stats Area,Total Units,Total Cas,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Moisture Cond,Weather Cond,DayNight,Crash Type,Traffic Ctrls
2017-1-15/08/2019,1,1,Driver,Female,034,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Friday,05:10 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-5-15/08/2019,2,1,Driver,Female,041,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,04:50 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
2017-9-15/08/2019,1,1,Driver,Male,XXX,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,08:19 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-10-15/08/2019,1,1,Driver,Male,019,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 2,Straight Ahead,1.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,1,Driver,Male,048,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,2,Passenger,Female,XXX,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,3,Passenger,Male,XXX,Rear Seat Middle Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,4,Passenger,Male,XXX,Rear Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,5,Passenger,Female,XXX,Rear Seat Right Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-10-15/08/2019,2,6,Passenger,Female,XXX,Unknown,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,6.0,2 Metropolitan,2,7,Sunday,08:30 am,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
2017-11-15/08/2019,2,1,Driver,Male,030,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,3 Country,2,1,Sunday,11:50 am,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-12-15/08/2019,2,1,Rider,Female,023,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,02:41 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
2017-15-15/08/2019,1,1,Rider,Male,050,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,09:30 pm,70,Cross Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,Roundabout
2017-16-15/08/2019,1,1,Driver,Male,042,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,2 Metropolitan,2,1,Sunday,10:00 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
2017-19-15/08/2019,1,1,Rider,Male,017,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Learners,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,02:10 pm,60,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-21-15/08/2019,1,1,Driver,Female,023,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Provisional 2,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,10:28 pm,80,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Roll Over,No Control
2017-24-15/08/2019,1,1,Passenger,Male,040,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Unlicenced,Straight Ahead,2.0,3 Country,1,1,Monday,11:15 am,110,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
