cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Female,34,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,41,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Male,39.88915925,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Male,19,Driver,NotFatal,Worn,Small,Provisional 2,1,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,48,Driver,NotFatal,Worn,Small,Full,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,39.88915925,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Male,39.88915925,Rear Seat Middle Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Male,39.88915925,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,39.88915925,Rear Seat Right Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,39.88915925,Other,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,30,Driver,NotFatal,Worn,Small,Full,2,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Female,23,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Rider,Male,50,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,70,Cross Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,Roundabout
Driver,Male,42,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
Rider,Male,17,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,23,Driver,NotFatal,Unknown,Small,Provisional 2,1,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Roll Over,No Control
Passenger,Male,40,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,3 Country,1,off-peak,110,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Male,47,Front Seat Left Passenger,NotFatal,NotWorn,Utility,NoLicence,3,2 Metropolitan,2,off-peak,110,Freeway,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,48,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Roundabout
Rider,Female,45,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
Rider,Male,52,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Male,33,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,42,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,4,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,36,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,4,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,12,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,5,2 Metropolitan,2,off-peak,80,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Male,17,Front Seat Left Passenger,NotFatal,NotWorn,Utility,NoLicence,2,2 Metropolitan,2,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,16,Driver,NotFatal,Worn,Small,Learners,2,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Traffic Signals
Driver,Female,18,Driver,NotFatal,Worn,Small,Unknown,2,2 Metropolitan,2,off-peak,80,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,17,Driver,NotFatal,Unknown,Small,Provisional 2,1,2 Metropolitan,2,off-peak,100,Freeway,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Female,54,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,51,Driver,NotFatal,Worn,Small,Unlicenced,1,3 Country,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,60,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Female,64,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Male,19,Driver,NotFatal,Worn,Small,Provisional 2,2,2 Metropolitan,2,peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Give Way Sign
Driver,Female,35,Driver,NotFatal,NotWorn,Small,Full,1,3 Country,2,peak,100,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,58,Driver,NotFatal,Worn,Medium,Full,1,3 Country,2,peak,100,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,20,Driver,NotFatal,Worn,Small,Provisional 1 ,1,2 Metropolitan,2,peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Male,55,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,70,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Female,29,Driver,NotFatal,Worn,Medium,Unknown,2,2 Metropolitan,2,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,25,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
